,,,,2019,,,,,2020,,,,,2021,,,,
香港各区,,,Districts of Hong Kong,FSP,NO2,O3,RSP,SO2,FSP,NO2,O3,RSP,SO2,FSP,NO2,O3,RSP,SO2
香港島,,,Hong Kong Island,,,,,,,,,,,,,,,
中西區,,,Central and Western,20,37,65,30,4,16,32,53,25,4,16,33,61,26,4
灣仔區,,,Wan Chai,20,37,65,30,4,16,32,53,25,4,16,33,61,26,4
東區,,,Eastern,18,38,65,31,2,14,34,51,27,2,15,35,65,29,2
南區,,,Southern,17,37,66,30,4,15,32,53,28,4,13,30,63,26,3
九龍,,,Kowloon,,,,,,,,,,,,,,,
油尖旺區,,,Yau Tsim Mong,18,48,51,33,6,14,45,47,28,6,14,47,50,28,6
深水埗區,,,Sham Shui Po,18,48,51,33,6,14,45,47,28,6,14,47,50,28,6
九龍城區,,,Kowloon City,18,48,51,33,6,14,45,47,28,6,14,47,50,28,6
黃大仙區,,,Wong Tai Sin,21,45,57,38,6,16,43,46,32,4,17,49,46,31,4
觀塘區,,,Kwun Tong,21,45,57,38,6,16,43,46,32,4,17,49,46,31,4
新界及離島,,,New Territories and Islands,,,,,,,,,,,,,,,
葵青區,,,Kwai Tsing,18,54,46,29,8,14,48,41,23,6,16,52,41,26,6
荃灣區,,,Tsuen Wan,20,46,49,30,7,15,36,43,24,6,16,44,44,24,5
屯門區,,,Tuen Mun,24,47,51,41,5,20,40,48,34,4,19,44,49,36,5
元朗區,,,Yuen Long,20,44,53,37,5,16,32,43,30,5,17,40,49,30,9
北區,,,North,20,44,65,30,5,17,40,60,28,4,15,36,57,25,3
大埔區,,,Tai Po,20,36,61,31,4,15,30,58,24,3,16,32,59,26,4
沙田區,,,Sha Tin,17,32,64,28,5,15,28,54,25,7,14,32,54,25,6
西貢區,,,Sai Kung,17,29,72,29,4,12,23,65,24,4,13,26,65,24,3
離島區,,,Islands,19,33,60,30,6,14,28,51,25,4,17,26,51,26,5
,,,,,,,,,,,,,,,,,,
